Date,SPY,GLD,TSLA
2022-08-17,426.6499938964844,164.35000610351562,303.9966735839844
2022-08-18,427.8900146484375,163.9199981689453,302.8699951171875
2022-08-19,422.1400146484375,162.72000122070312,296.6666564941406
2022-08-22,413.3500061035156,161.63999938964844,289.913330078125
2022-08-23,412.3500061035156,162.77000427246094,296.4533386230469
2022-08-24,413.6700134277344,163.25,297.0966796875
2022-08-25,419.510009765625,163.75,296.07000732421875
2022-08-26,405.30999755859375,161.75999450683594,288.0899963378906
2022-08-29,402.6300048828125,161.86000061035156,284.82000732421875
2022-08-30,398.2099914550781,160.50999450683594,277.70001220703125
2022-08-31,395.17999267578125,159.27000427246094,275.6099853515625
2022-09-01,396.4200134277344,157.8699951171875,277.1600036621094
2022-09-02,392.239990234375,159.25999450683594,270.2099914550781
2022-09-06,390.760009765625,158.3300018310547,274.4200134277344
2022-09-07,397.7799987792969,159.94000244140625,283.70001220703125
2022-09-08,400.3800048828125,158.97999572753906,289.260009765625
2022-09-09,406.6000061035156,159.82000732421875,299.67999267578125
2022-09-12,410.9700012207031,160.6300048828125,304.4200134277344
2022-09-13,393.1000061035156,158.5399932861328,292.1300048828125
2022-09-14,394.6000061035156,157.92999267578125,302.6099853515625
2022-09-15,390.1199951171875,154.97999572753906,303.75
2022-09-16,385.55999755859375,155.83999633789062,303.3500061035156
2022-09-19,388.54998779296875,155.9600067138672,309.07000732421875
2022-09-20,384.0899963378906,155.07000732421875,308.7300109863281
2022-09-21,377.3900146484375,155.7899932861328,300.79998779296875
2022-09-22,374.2200012207031,155.6999969482422,288.5899963378906
2022-09-23,367.95001220703125,153.00999450683594,275.3299865722656
2022-09-26,364.30999755859375,151.22999572753906,276.010009765625
2022-09-27,363.3800048828125,151.5399932861328,282.94000244140625
2022-09-28,370.5299987792969,154.69000244140625,287.80999755859375
2022-09-29,362.7900085449219,154.66000366210938,268.2099914550781
2022-09-30,357.17999267578125,154.6699981689453,265.25
2022-10-03,366.6099853515625,158.42999267578125,242.39999389648438
2022-10-04,377.9700012207031,160.6999969482422,249.44000244140625
2022-10-05,377.0899963378906,159.80999755859375,240.80999755859375
2022-10-06,373.20001220703125,159.6300048828125,238.1300048828125
2022-10-07,362.7900085449219,157.8800048828125,223.07000732421875
2022-10-10,360.0199890136719,155.47999572753906,222.9600067138672
2022-10-11,357.739990234375,155.16000366210938,216.5
2022-10-12,356.55999755859375,155.99000549316406,217.24000549316406
2022-10-13,365.9700012207031,154.91000366210938,221.72000122070312
2022-10-14,357.6300048828125,152.97999572753906,204.99000549316406
2022-10-17,366.82000732421875,153.4199981689453,219.35000610351562
2022-10-18,371.1300048828125,153.75,220.19000244140625
2022-10-19,368.5,151.69000244140625,222.0399932861328
2022-10-20,365.4100036621094,151.4499969482422,207.27999877929688
2022-10-21,374.2900085449219,154.14999389648438,214.44000244140625
2022-10-24,378.8699951171875,153.64999389648438,211.25
2022-10-25,384.9200134277344,154.0,222.4199981689453
2022-10-26,382.0199890136719,154.97999572753906,224.63999938964844
2022-10-27,379.9800109863281,154.74000549316406,225.08999633789062
2022-10-28,389.0199890136719,153.16000366210938,228.52000427246094
2022-10-31,386.2099914550781,151.91000366210938,227.5399932861328
2022-11-01,384.5199890136719,153.4600067138672,227.82000732421875
2022-11-02,374.8699951171875,152.38999938964844,214.97999572753906
2022-11-03,371.010009765625,151.80999755859375,215.30999755859375
2022-11-04,376.3500061035156,156.47000122070312,207.47000122070312
2022-11-07,379.95001220703125,155.85000610351562,197.0800018310547
2022-11-08,382.0,159.4499969482422,191.3000030517578
2022-11-09,374.1300048828125,158.64999389648438,177.58999633789062
2022-11-10,394.69000244140625,163.47999572753906,190.72000122070312
2022-11-11,398.510009765625,164.55999755859375,195.97000122070312
2022-11-14,395.1199951171875,164.9199981689453,190.9499969482422
2022-11-15,398.489990234375,165.5,194.4199981689453
2022-11-16,395.45001220703125,165.1199951171875,186.9199981689453
2022-11-17,394.239990234375,163.9199981689453,183.1699981689453
2022-11-18,396.0299987792969,162.7899932861328,180.19000244140625
2022-11-21,394.5899963378906,161.8800048828125,167.8699951171875
2022-11-22,399.8999938964844,162.07000732421875,169.91000366210938
2022-11-23,402.4200134277344,163.0800018310547,183.1999969482422
2022-11-25,402.3299865722656,163.22000122070312,182.86000061035156
2022-11-28,395.9100036621094,161.92999267578125,182.9199981689453
2022-11-29,395.2300109863281,162.72999572753906,180.8300018310547
2022-11-30,407.67999267578125,164.80999755859375,194.6999969482422
2022-12-01,407.3800048828125,167.83999633789062,194.6999969482422
2022-12-02,406.9100036621094,167.25999450683594,194.86000061035156
2022-12-05,399.5899963378906,164.38999938964844,182.4499969482422
2022-12-06,393.8299865722656,164.83999633789062,179.82000732421875
2022-12-07,393.1600036621094,166.3300018310547,174.0399932861328
2022-12-08,396.239990234375,166.47000122070312,173.44000244140625
2022-12-09,393.2799987792969,167.05999755859375,179.0500030517578
2022-12-12,398.95001220703125,165.67999267578125,167.82000732421875
2022-12-13,401.9700012207031,168.50999450683594,160.9499969482422
2022-12-14,399.3999938964844,168.10000610351562,156.8000030517578
2022-12-15,389.6300048828125,165.35000610351562,157.6699981689453
2022-12-16,383.2699890136719,166.7899932861328,150.22999572753906
2022-12-19,380.0199890136719,166.32000732421875,149.8699951171875
2022-12-20,380.5400085449219,169.0800018310547,137.8000030517578
2022-12-21,386.2300109863281,168.8000030517578,137.57000732421875
2022-12-22,380.7200012207031,166.75999450683594,125.3499984741211
2022-12-23,382.9100036621094,167.25999450683594,123.1500015258789
2022-12-27,381.3999938964844,168.6699981689453,109.0999984741211
2022-12-28,376.6600036621094,167.91000366210938,112.70999908447266
2022-12-29,383.44000244140625,168.85000610351562,121.81999969482422
2022-12-30,382.42999267578125,169.63999938964844,123.18000030517578
2023-01-03,380.82000732421875,171.05999755859375,108.0999984741211
2023-01-04,383.760009765625,172.6699981689453,113.63999938964844
2023-01-05,379.3800048828125,170.52000427246094,110.33999633789062
2023-01-06,388.0799865722656,173.7100067138672,113.05999755859375
2023-01-09,387.8599853515625,174.10000610351562,119.7699966430664
2023-01-10,390.5799865722656,174.74000549316406,118.8499984741211
2023-01-11,395.5199890136719,174.6199951171875,123.22000122070312
2023-01-12,396.9599914550781,176.63999938964844,123.55999755859375
2023-01-13,398.5,178.75999450683594,122.4000015258789
2023-01-17,397.7699890136719,177.58999633789062,131.49000549316406
2023-01-18,391.489990234375,177.0800018310547,128.77999877929688
2023-01-19,388.6400146484375,179.88999938964844,127.16999816894531
2023-01-20,395.8800048828125,179.2899932861328,133.4199981689453
2023-01-23,400.6300048828125,179.6300048828125,143.75
2023-01-24,400.20001220703125,180.27999877929688,143.88999938964844
2023-01-25,400.3500061035156,181.11000061035156,144.42999267578125
2023-01-26,404.75,179.47000122070312,160.27000427246094
2023-01-27,405.67999267578125,179.22000122070312,177.89999389648438
2023-01-30,400.5899963378906,178.75999450683594,166.66000366210938
2023-01-31,406.4800109863281,179.41000366210938,173.22000122070312
2023-02-01,410.79998779296875,181.6699981689453,181.41000366210938
2023-02-02,416.7799987792969,177.89999389648438,188.27000427246094
2023-02-03,412.3500061035156,173.4600067138672,189.97999572753906
2023-02-06,409.8299865722656,173.82000732421875,194.75999450683594
2023-02-07,415.19000244140625,173.97999572753906,196.80999755859375
2023-02-08,410.6499938964844,174.41000366210938,201.2899932861328
2023-02-09,407.0899963378906,173.02999877929688,207.32000732421875
2023-02-10,408.0400085449219,173.36000061035156,196.88999938964844
2023-02-13,412.8299865722656,172.47999572753906,194.63999938964844
2023-02-14,412.6400146484375,172.61000061035156,209.25
2023-02-15,413.9800109863281,170.88999938964844,214.24000549316406
2023-02-16,408.2799987792969,170.75,202.0399932861328
2023-02-17,407.260009765625,171.25999450683594,208.30999755859375
2023-02-21,399.0899963378906,170.6199951171875,197.3699951171875
2023-02-22,398.5400085449219,169.66000366210938,200.86000061035156
2023-02-23,400.6600036621094,169.57000732421875,202.07000732421875
2023-02-24,396.3800048828125,168.35000610351562,196.8800048828125
2023-02-27,397.7300109863281,169.00999450683594,207.6300048828125
2023-02-28,396.260009765625,169.77999877929688,205.7100067138672
2023-03-01,394.739990234375,170.75999450683594,202.77000427246094
2023-03-02,397.80999755859375,170.66000366210938,190.89999389648438
2023-03-03,404.19000244140625,172.49000549316406,197.7899932861328
2023-03-06,404.4700012207031,171.6199951171875,193.80999755859375
2023-03-07,398.2699890136719,168.6199951171875,187.7100067138672
2023-03-08,398.9200134277344,168.5399932861328,182.0
2023-03-09,391.55999755859375,170.1999969482422,172.9199981689453
2023-03-10,385.9100036621094,173.8699951171875,173.44000244140625
2023-03-13,385.3599853515625,177.86000061035156,174.47999572753906
2023-03-14,391.7300109863281,176.8300018310547,183.25999450683594
2023-03-15,389.2799987792969,178.2100067138672,180.4499969482422
2023-03-16,396.1099853515625,178.57000732421875,184.1300048828125
2023-03-17,389.989990234375,183.77000427246094,180.1300048828125
2023-03-20,393.739990234375,183.83999633789062,183.25
2023-03-21,398.9100036621094,180.3699951171875,197.5800018310547
2023-03-22,392.1099853515625,183.44000244140625,191.14999389648438
2023-03-23,393.1700134277344,185.74000549316406,192.22000122070312
2023-03-24,395.75,183.64999389648438,190.41000366210938
2023-03-27,396.489990234375,181.9499969482422,191.80999755859375
2023-03-28,395.6000061035156,183.44000244140625,189.19000244140625
2023-03-29,401.3500061035156,182.52999877929688,193.8800048828125
2023-03-30,403.70001220703125,184.17999267578125,195.27999877929688
2023-03-31,409.3900146484375,183.22000122070312,207.4600067138672
